time_ms,depth_m,gas_idx
22947,6.715,0
43143,13.496,0
63342,20.278,0
83363,26.993,0
103559,33.774,0
123576,40.489,0
143772,47.271,0
163972,54.052,0
183988,60.767,0
204184,67.549,0
224380,74.331,0
244396,81.045,0
264592,87.827,0
284788,90.870,0
304984,91.243,0
325180,91.589,0
345376,91.894,0
365572,92.142,0
385768,92.324,0
405964,92.431,0
426160,92.459,0
446356,92.406,0
466554,92.274,0
486750,92.070,0
506946,91.803,0
527142,91.484,0
547338,91.127,0
567534,90.749,0
587730,90.367,0
607926,89.997,0
628122,89.656,0
648318,89.360,0
668514,89.120,0
688710,88.949,0
708906,88.853,0
729102,88.838,0
749298,88.903,0
769494,89.046,0
789694,89.260,0
809897,89.536,0
830093,89.861,0
850115,90.218,0
870311,90.598,0
890368,88.486,0
910385,86.003,0
930581,83.495,0
950777,80.986,0
970798,78.503,0
990994,75.994,0
1011190,73.486,0
1031207,71.003,0
1051234,68.519,0
1071265,66.036,0
1091300,63.527,0
1111496,61.019,0
1131692,58.511,0
1151888,56.002,0
1172084,53.494,0
1192280,50.986,0
1212297,48.502,0
1232493,45.994,0
1252693,43.486,0
1272710,41.002,0
1292906,38.494,0
1313001,36.010,0
1373424,28.510,0
1393455,26.027,0
1413651,23.519,0
1433847,21.010,0
1453864,18.527,0
1473883,16.018,0
1494079,13.510,0
1514100,11.027,0
1534296,8.518,0
1554492,6.010,0
1574688,3.502,0
1594884,0.993,0
