time_ms,depth_flash_m,depth_profile_m,depth_diff_m,gas_idx
22921,6.715,6.886,-0.171,0
43117,13.496,13.842,-0.346,0
63313,20.278,20.796,-0.518,0
83333,26.993,27.684,-0.691,0
103530,33.774,34.639,-0.865,0
123545,40.489,41.527,-1.038,0
143741,47.271,48.481,-1.210,0
163937,50.437,51.727,-1.291,0
184133,50.577,51.872,-1.295,0
204329,50.713,52.011,-1.298,0
224525,50.842,52.144,-1.302,0
244721,50.962,52.266,-1.304,0
264917,51.069,52.377,-1.307,0
285113,51.163,52.472,-1.309,0
305309,51.240,52.551,-1.311,0
325505,51.300,52.613,-1.313,0
345701,51.341,52.656,-1.315,0
365897,51.363,52.678,-1.315,0
386093,51.365,52.680,-1.315,0
426485,51.309,52.623,-1.314,0
446681,51.253,52.564,-1.311,0
487077,51.088,52.396,-1.308,0
507273,50.983,52.288,-1.305,0
527469,50.865,52.168,-1.303,0
547665,50.738,52.037,-1.299,0
567861,50.603,51.899,-1.296,0
588057,50.463,51.756,-1.293,0
608253,50.323,51.610,-1.287,0
628449,50.182,51.467,-1.285,0
648645,50.044,51.325,-1.282,0
668841,49.913,51.191,-1.278,0
689037,49.790,51.065,-1.275,0
709233,49.679,50.951,-1.272,0
729429,49.582,50.851,-1.269,0
749625,49.499,50.767,-1.267,0
769821,49.434,50.700,-1.266,0
790017,49.387,50.651,-1.264,0
810213,49.360,50.624,-1.264,0
830412,49.352,50.616,-1.264,0
850608,49.365,50.629,-1.264,0
870804,49.397,50.661,-1.264,0
891000,49.448,50.714,-1.266,0
911196,49.517,50.785,-1.268,0
931392,49.603,50.873,-1.270,0
951588,49.705,50.977,-1.272,0
971784,49.819,51.094,-1.275,0
991980,49.943,51.222,-1.279,0
1012176,50.076,51.358,-1.282,0
1032372,50.215,51.501,-1.285,0
1052568,50.357,51.646,-1.289,0
1072764,48.478,49.719,-1.241,0
1092960,46.559,47.751,-1.192,0
1113156,44.639,45.782,-1.143,0
1133352,42.720,43.814,-1.094,0
1153371,40.820,41.865,-1.045,0
1173567,38.900,39.896,-0.996,0
1193763,36.981,37.928,-0.947,0
1213959,35.062,35.959,-0.897,0
1254351,31.223,32.022,-0.799,0
1274547,29.303,30.054,-0.751,0
1294743,27.384,28.085,-0.701,0
1314939,25.465,26.117,-0.652,0
1334955,23.564,24.168,-0.604,0
1355151,21.645,22.199,-0.554,0
1375347,19.726,20.231,-0.505,0
1395543,17.806,18.262,-0.456,0
1415739,15.887,16.294,-0.407,0
1435935,13.968,14.325,-0.357,0
1456131,12.048,12.357,-0.309,0
1476327,10.129,10.389,-0.260,0
1516719,6.290,6.451,-0.161,0
1536914,4.371,4.482,-0.111,0
1557110,2.451,2.514,-0.063,0
1577306,0.532,0.545,-0.013,0
